stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1001_01,,役場,,34.8642972,137.1658843,1001_01,,0
1002_01,,消防署,,34.8712312,137.162401,1002_01,,0
1003_01,,一乗寺,,34.8759723,137.1644515,1003_01,,0
1004_01,,わしだ保育園,,34.8793653,137.1659642,1004_01,,0
1004_02,,わしだ保育園,,34.8793389,137.1660501,1004_02,,0
1005_01,,幸田高校,,34.8816008,137.1672302,1005_01,,0
1006_01,,高力神山住宅,,34.8808175,137.1695584,1006_01,,0
1007_01,,高力神山,,34.8830398,137.1702933,1007_01,,0
1007_02,,高力神山,,34.8831311,137.1700613,1007_02,,0
1008_01,,大草広野,,34.8801794,137.17363,1008_01,,0
1009_01,,JA憩の農園,,34.8785424,137.1768647,1009_01,,0
1010_01,,大草老人憩の家,,34.8775038,137.1808505,1010_01,,0
1011_01,,廣福寺,,34.8760911,137.1849543,1011_01,,0
1012_01,,大草神社,,34.8768568,137.1891868,1012_01,,0
1013_01,,久保田コミュニティホーム,,34.8883709,137.1902436,1013_01,,0
1014_01,,久保田上ノ山,,34.8936225,137.187556,1014_01,,0
1015_01,,長嶺北郷中,,34.897072,137.1869123,1015_01,,0
1016_01,,坂崎保育園東,,34.8947401,137.1778572,1016_01,,0
1017_01,,坂崎西ヶ崎,,34.8961084,137.1788335,1017_01,,0
1018_01,,つつじヶ丘,,34.8995886,137.1798044,1018_01,,0
1019_01,,京ヶ峯岡田病院,,34.902136,137.1777659,1019_01,,0
1019_02,,京ヶ峯岡田病院,,34.9018544,137.1776882,1019_02,,0
1020_01,,彦左公園口,,34.90584,137.17378,1020_01,,0
1020_02,,彦左公園口,,34.90577,137.17349,1020_02,,0
1021_01,,おはら内科クリニック,,34.9054158,137.172077,1021_01,,0
1022_01,,坂崎山添,,34.900396,137.1718115,1022_01,,0
1023_01,,坂崎浄水場前,,34.9009877,137.1664095,1023_01,,0
1024_01,,県道坂崎,,34.8976615,137.1699929,1024_01,,0
1024_02,,県道坂崎,,34.8976153,137.169883,1024_02,,0
1025_01,,県道坂崎南,,34.8951844,137.1688235,1025_01,,0
1025_02,,県道坂崎南,,34.8956574,137.16892,1025_02,,0
1026_01,,カメリアガーデン,,34.8884391,137.1641135,1026_01,,0
1026_02,,カメリアガーデン,,34.8885007,137.1639955,1026_02,,0
1027_01,,JR相見駅,,34.8874579,137.160573,1027_01,,0
1029_01,,むらかみ整形外科,,34.8918097,137.1677077,1029_01,,0
